fecha	cierre
31/08/2020	21.904
28/08/2020	21.806
27/08/2020	22.106
26/08/2020	21.958
25/08/2020	21.98
24/08/2020	22.02
21/08/2020	21.986
20/08/2020	22.16
19/08/2020	22.052
18/08/2020	22.181
17/08/2020	22.118
14/08/2020	22.027
13/08/2020	22.23
12/08/2020	22.339
11/08/2020	22.337
10/08/2020	22.482
07/08/2020	22.397
06/08/2020	22.396
05/08/2020	22.37
04/08/2020	22.829
03/08/2020	22.625
31/07/2020	22.21
30/07/2020	22.08
29/07/2020	22.012
28/07/2020	21.945
27/07/2020	21.993
24/07/2020	22.277
23/07/2020	22.48
22/07/2020	22.324
21/07/2020	22.301
20/07/2020	22.512
17/07/2020	22.534
16/07/2020	22.387
15/07/2020	22.344
14/07/2020	22.444
13/07/2020	22.549
10/07/2020	22.482
09/07/2020	22.642
08/07/2020	22.75
07/07/2020	22.683
06/07/2020	22.335
03/07/2020	22.423
02/07/2020	22.475
01/07/2020	22.793
30/06/2020	22.957
29/06/2020	23.111
26/06/2020	22.98
25/06/2020	22.761
24/06/2020	22.732
23/06/2020	22.437
22/06/2020	22.454
19/06/2020	22.645
18/06/2020	22.727
17/06/2020	22.272
16/06/2020	22.244
15/06/2020	22.173
12/06/2020	22.415
11/06/2020	22.632
10/06/2020	21.746
09/06/2020	21.878
08/06/2020	21.612
05/06/2020	21.625
04/06/2020	21.886
03/06/2020	21.798
02/06/2020	21.751
01/06/2020	22.077
29/05/2020	22.224
28/05/2020	22.169
27/05/2020	22.341
26/05/2020	22.249
25/05/2020	22.626
22/05/2020	22.766
21/05/2020	22.864
20/05/2020	23.189
19/05/2020	23.523
18/05/2020	23.735
15/05/2020	24.013
14/05/2020	24.068
13/05/2020	24.326
12/05/2020	24.18
11/05/2020	23.927
08/05/2020	23.769
07/05/2020	24.025
06/05/2020	24.269
05/05/2020	23.882
04/05/2020	24.173
30/04/2020	24.061
29/04/2020	23.87
28/04/2020	24.282
27/04/2020	24.862
24/04/2020	25.13
23/04/2020	24.683
22/04/2020	24.553
21/04/2020	24.328
20/04/2020	24.15
17/04/2020	23.867
16/04/2020	24.237
15/04/2020	23.986
14/04/2020	23.535
13/04/2020	23.695
08/04/2020	24.01
07/04/2020	24.11
06/04/2020	24.783
03/04/2020	24.738
02/04/2020	24.349
01/04/2020	24.414
31/03/2020	23.798
30/03/2020	24.129
27/03/2020	23.325
26/03/2020	23.182
25/03/2020	23.988
24/03/2020	24.976
23/03/2020	25.135
20/03/2020	24.248
19/03/2020	24.424
18/03/2020	23.93
17/03/2020	23.168
13/03/2020	21.976
12/03/2020	21.647
11/03/2020	21.379
10/03/2020	20.778
09/03/2020	21.179
06/03/2020	20.11
05/03/2020	19.92
04/03/2020	19.539
03/03/2020	19.392
02/03/2020	19.505
28/02/2020	19.861
27/02/2020	19.379
26/02/2020	19.204
25/02/2020	19.163
24/02/2020	19.07
21/02/2020	18.864
20/02/2020	18.819
19/02/2020	18.568
18/02/2020	18.584
17/02/2020	18.562
14/02/2020	18.552
13/02/2020	18.624
12/02/2020	18.623
11/02/2020	18.674
10/02/2020	18.733
07/02/2020	18.788
06/02/2020	18.654
05/02/2020	18.607
04/02/2020	18.699
31/01/2020	18.866
30/01/2020	18.837
29/01/2020	18.69
28/01/2020	18.747
27/01/2020	18.891
24/01/2020	18.836
23/01/2020	18.762
22/01/2020	18.669
21/01/2020	18.753
20/01/2020	18.667
17/01/2020	18.704
16/01/2020	18.802
15/01/2020	18.808
14/01/2020	18.784
13/01/2020	18.797
10/01/2020	18.781
09/01/2020	18.852
08/01/2020	18.8
07/01/2020	18.875
06/01/2020	18.868
03/01/2020	18.925
02/01/2020	18.857
31/12/2019	18.886
30/12/2019	18.92
27/12/2019	18.84
26/12/2019	18.95
24/12/2019	18.988
23/12/2019	18.936
20/12/2019	18.929
19/12/2019	18.953
18/12/2019	18.962
17/12/2019	18.919
16/12/2019	18.941
13/12/2019	19.051
11/12/2019	19.146
10/12/2019	19.248
09/12/2019	19.235
06/12/2019	19.295
05/12/2019	19.353
04/12/2019	19.443
03/12/2019	19.585
02/12/2019	19.574
29/11/2019	19.553
28/11/2019	19.56
27/11/2019	19.55
26/11/2019	19.567
25/11/2019	19.442
22/11/2019	19.387
21/11/2019	19.39
20/11/2019	19.488
19/11/2019	19.363
15/11/2019	19.214
14/11/2019	19.381
13/11/2019	19.445
12/11/2019	19.343
11/11/2019	19.128
08/11/2019	19.096
07/11/2019	19.11
06/11/2019	19.184
05/11/2019	19.213
04/11/2019	19.198
01/11/2019	19.139
31/10/2019	19.235
30/10/2019	19.125
29/10/2019	19.131
28/10/2019	19.098
25/10/2019	19.06
24/10/2019	19.146
23/10/2019	19.122
22/10/2019	19.129
21/10/2019	19.123
18/10/2019	19.135
17/10/2019	19.178
16/10/2019	19.195
15/10/2019	19.255
14/10/2019	19.267
11/10/2019	19.322
10/10/2019	19.4895
09/10/2019	19.579
08/10/2019	19.607
07/10/2019	19.5895
04/10/2019	19.5555
03/10/2019	19.6695
02/10/2019	19.8015
01/10/2019	19.829
30/09/2019	19.7205
27/09/2019	19.7245
26/09/2019	19.624
25/09/2019	19.56
24/09/2019	19.4685
23/09/2019	19.478
20/09/2019	19.4575
19/09/2019	19.414
18/09/2019	19.4
17/09/2019	19.363
13/09/2019	19.3855
12/09/2019	19.439
11/09/2019	19.5575
10/09/2019	19.512
09/09/2019	19.558
06/09/2019	19.5495
05/09/2019	19.694
04/09/2019	19.76
03/09/2019	20.013
02/09/2019	20.1435
30/08/2019	20.055
29/08/2019	20.1285
28/08/2019	20.084
27/08/2019	20.0245
26/08/2019	19.925
23/08/2019	19.8695
22/08/2019	19.7795
21/08/2019	19.6725
20/08/2019	19.76
19/08/2019	19.845
16/08/2019	19.6035
15/08/2019	19.6725
14/08/2019	19.7275
13/08/2019	19.3895
12/08/2019	19.5615
09/08/2019	19.399
08/08/2019	19.467
07/08/2019	19.666
06/08/2019	19.604
05/08/2019	19.622
02/08/2019	19.3375
01/08/2019	19.258
31/07/2019	19
30/07/2019	19.0635
29/07/2019	19.0765
26/07/2019	19.056
25/07/2019	19.042
24/07/2019	19.0705
23/07/2019	19.16
22/07/2019	19.071
19/07/2019	19.02
18/07/2019	18.9645
17/07/2019	19.0515
16/07/2019	19.1035
15/07/2019	18.969
12/07/2019	19.009
11/07/2019	19.112
10/07/2019	19.1815
09/07/2019	19.161
08/07/2019	18.9025
05/07/2019	19.027
04/07/2019	19.0095
03/07/2019	19.031
02/07/2019	19.0715
01/07/2019	19.1175
28/06/2019	19.197
27/06/2019	19.148
26/06/2019	19.144
25/06/2019	19.257
24/06/2019	19.1885
21/06/2019	19.1425
20/06/2019	18.979
19/06/2019	19.09
18/06/2019	19.159
17/06/2019	19.2025
14/06/2019	19.148
13/06/2019	19.154
12/06/2019	19.196
11/06/2019	19.1215
10/06/2019	19.21
07/06/2019	19.589
06/06/2019	19.748
05/06/2019	19.517
04/06/2019	19.5335
03/06/2019	19.82
31/05/2019	19.6555
30/05/2019	19.0925
29/05/2019	19.154
28/05/2019	19.193
27/05/2019	19.0635
24/05/2019	19.0625
23/05/2019	19.088
22/05/2019	18.982
21/05/2019	19.022
20/05/2019	19.0635
17/05/2019	19.155
16/05/2019	19.0625
15/05/2019	19.05
14/05/2019	19.1585
13/05/2019	19.2005
10/05/2019	19.0785
09/05/2019	19.179
08/05/2019	19.102
07/05/2019	19.066
06/05/2019	18.96
03/05/2019	18.962
02/05/2019	19.1025
30/04/2019	18.939
29/04/2019	18.9995
26/04/2019	18.9375
25/04/2019	19.0545
24/04/2019	19.0835
23/04/2019	18.9515
22/04/2019	18.85
17/04/2019	18.8315
16/04/2019	18.8785
15/04/2019	18.878
12/04/2019	18.757
11/04/2019	18.859
10/04/2019	18.838
09/04/2019	18.9245
08/04/2019	18.955
05/04/2019	19.08
04/04/2019	19.1655
03/04/2019	19.2195
02/04/2019	19.203
01/04/2019	19.199
29/03/2019	19.412
28/03/2019	19.35
27/03/2019	19.3145
26/03/2019	19.0965
25/03/2019	19.0455
22/03/2019	19.098
21/03/2019	18.885
20/03/2019	18.827
19/03/2019	19.015
15/03/2019	19.228
14/03/2019	19.318
13/03/2019	19.314
12/03/2019	19.32
11/03/2019	19.3925
08/03/2019	19.4875
07/03/2019	19.6005
06/03/2019	19.376
05/03/2019	19.2585
04/03/2019	19.337
01/03/2019	19.301
28/02/2019	19.279
27/02/2019	19.1895
26/02/2019	19.175
25/02/2019	19.1315
22/02/2019	19.1225
21/02/2019	19.275
20/02/2019	19.1885
19/02/2019	19.1445
18/02/2019	19.2785
15/02/2019	19.2775
14/02/2019	19.2775
13/02/2019	19.418
12/02/2019	19.295
11/02/2019	19.3235
08/02/2019	19.064
07/02/2019	19.1435
06/02/2019	19.11
05/02/2019	19.0535
01/02/2019	19.1175
31/01/2019	19.129
30/01/2019	19.0465
29/01/2019	19.0015
28/01/2019	19.051
25/01/2019	18.9845
24/01/2019	19.0395
23/01/2019	19.0375
22/01/2019	19.1705
21/01/2019	19.18
18/01/2019	19.0955
17/01/2019	19.03
16/01/2019	18.9155
15/01/2019	19.009
14/01/2019	18.9865
11/01/2019	19.14
10/01/2019	19.1565
09/01/2019	19.2445
08/01/2019	19.365
07/01/2019	19.38
04/01/2019	19.3895
03/01/2019	19.5875
02/01/2019	19.564
31/12/2018	19.665
28/12/2018	19.7095
27/12/2018	19.6595
26/12/2018	19.9185
24/12/2018	19.895
21/12/2018	19.951
20/12/2018	19.9365
19/12/2018	19.985
18/12/2018	20.0625
17/12/2018	20.099
14/12/2018	20.286
13/12/2018	20.315
11/12/2018	20.2165
10/12/2018	20.327
07/12/2018	20.2705
06/12/2018	20.36
05/12/2018	20.519
04/12/2018	20.507
03/12/2018	20.3055
30/11/2018	20.453
29/11/2018	20.2745
28/11/2018	20.2435
27/11/2018	20.468
26/11/2018	20.63
23/11/2018	20.395
22/11/2018	20.3185
21/11/2018	20.232
20/11/2018	20.4245
16/11/2018	20.0975
15/11/2018	20.2195
14/11/2018	20.443
13/11/2018	20.5055
12/11/2018	20.334
09/11/2018	20.3555
08/11/2018	20.135
07/11/2018	19.896
06/11/2018	19.787
05/11/2018	19.947
01/11/2018	20.09
31/10/2018	20.3
30/10/2018	20.047
29/10/2018	20.06
26/10/2018	19.4295
25/10/2018	19.4645
24/10/2018	19.5465
23/10/2018	19.292
22/10/2018	19.3745
19/10/2018	19.27
18/10/2018	19.1185
17/10/2018	18.8385
16/10/2018	18.7645
15/10/2018	18.8175
12/10/2018	18.912
11/10/2018	18.9975
10/10/2018	19.0705
09/10/2018	19.035
08/10/2018	18.893
05/10/2018	18.8995
04/10/2018	19.172
03/10/2018	18.9795
02/10/2018	18.788
01/10/2018	18.688
28/09/2018	18.7175
27/09/2018	18.8105
26/09/2018	18.8875
25/09/2018	19.0125
24/09/2018	18.9475
21/09/2018	18.7955
